Nome,Preço,Classificação,Nota dos Usuários,Proprietários
Terraria,999,,0,"20,000,000 .. 50,000,000"
Factorio,3500,,0,"5,000,000 .. 10,000,000"
Stellaris,3999,,0,"2,000,000 .. 5,000,000"
Black Mesa,1999,,0,"2,000,000 .. 5,000,000"
Counter-Strike,999,,0,"10,000,000 .. 20,000,000"
Portal,999,,0,"10,000,000 .. 20,000,000"
The Elder Scrolls V: Skyrim,1999,,0,"5,000,000 .. 10,000,000"
Rocket League,0,,0,"10,000,000 .. 20,000,000"
Gems of War - Puzzle RPG,0,,0,"1,000,000 .. 2,000,000"
Horizon Zero Dawn Complete Edition,4999,,0,"1,000,000 .. 2,000,000"
Elite Dangerous,599,,0,"2,000,000 .. 5,000,000"
Dead by Daylight,1999,,0,"10,000,000 .. 20,000,000"
Don't Starve Together,1499,,0,"20,000,000 .. 50,000,000"
PUBG: BATTLEGROUNDS,0,,0,"50,000,000 .. 100,000,000"
Garry's Mod,999,,0,"20,000,000 .. 50,000,000"
Unturned,0,,0,"20,000,000 .. 50,000,000"
Left 4 Dead 2,999,,0,"50,000,000 .. 100,000,000"
Cyberpunk 2077,2999,,0,"20,000,000 .. 50,000,000"
DayZ,4499,,0,"5,000,000 .. 10,000,000"
7 Days to Die,2499,,0,"10,000,000 .. 20,000,000"
ARK: Survival Evolved,1499,,0,"20,000,000 .. 50,000,000"
Team Fortress 2,0,,0,"50,000,000 .. 100,000,000"
Dota 2,0,,0,"200,000,000 .. 500,000,000"
Slime Rancher,1999,,0,"2,000,000 .. 5,000,000"
XCOM: Enemy Unknown,2999,,0,"2,000,000 .. 5,000,000"
They Are Billions,2999,,0,"2,000,000 .. 5,000,000"
Half-Life,999,,0,"2,000,000 .. 5,000,000"
Rust,3999,,0,"50,000,000 .. 100,000,000"
Steam Summer Getaway,0,,0,"0 .. 20,000"
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,1999,,0,"1,000,000 .. 2,000,000"
Getting Over It with Bennett Foddy,799,,0,"2,000,000 .. 5,000,000"
VRChat,0,,0,"10,000,000 .. 20,000,000"
Wallpaper Engine,399,,0,"20,000,000 .. 50,000,000"
Counter-Strike: Global Offensive,0,,0,"50,000,000 .. 100,000,000"
Darwinia,999,,0,"100,000 .. 200,000"
Spacewar,0,,0,"0 .. 20,000"
Sid Meier's Civilization V,749,,0,"10,000,000 .. 20,000,000"
Euro Truck Simulator 2,499,,0,"10,000,000 .. 20,000,000"
Grand Theft Auto V,2998,,0,"50,000,000 .. 100,000,000"
War Thunder,0,,0,"20,000,000 .. 50,000,000"
Star Conflict,0,,0,"500,000 .. 1,000,000"
The Elder Scrolls V: Skyrim Special Edition,3999,,0,"5,000,000 .. 10,000,000"
Portal 2,999,,0,"10,000,000 .. 20,000,000"
Fallout: New Vegas,999,,0,"5,000,000 .. 10,000,000"
The Room Two,499,,0,"200,000 .. 500,000"
Monster Hunter: World,2999,,0,"10,000,000 .. 20,000,000"
Counter-Strike: Source,999,,0,"10,000,000 .. 20,000,000"
Borderlands 2,1999,,0,"5,000,000 .. 10,000,000"
UBOAT,2999,,0,"500,000 .. 1,000,000"
Black Squad,0,,0,"10,000,000 .. 20,000,000"
PAYDAY 2,999,,0,"20,000,000 .. 50,000,000"
Tom Clancy's Rainbow Six Siege,1999,,0,"20,000,000 .. 50,000,000"
